lambda,expected_cost,variance,stdev,half_life
1e-08,682913.7762258239,5835830723694.016,2415746.411296934,5.445682848415611
1.4677992676220705e-08,684713.5614945248,5689732123706.172,2385315.9379223064,4.494978117051449
2.1544346900318822e-08,688353.961404974,5488261347392.703,2342703.853967185,3.710281206930678
3.162277660168379e-08,695524.2424789182,5217646071417.112,2284216.730395151,3.062611807342722
4.641588833612782e-08,709147.2427315259,4866905485533.678,2206106.408479355,2.5280502808298833
6.812920690579608e-08,733835.2139010162,4433134137731.458,2105500.9232321554,2.0868542626953617
1e-07,776004.456632236,3927311323587.6094,1981744.5152157252,1.7227295316683682
1.4677992676220674e-07,843189.7287272093,3376973255065.173,1837654.280615691,1.422228221151383
2.1544346900318822e-07,942470.8614446487,2821568631545.416,1679752.5506887662,1.1742521415086968
3.162277660168379e-07,1078892.6158675316,2300476856890.4365,1516732.29572342,0.9696428625249613
4.6415888336127725e-07,1255335.5829438618,1840543682390.0007,1356666.3858111915,0.8008434037334493
6.812920690579608e-07,1474195.2567369835,1451465226383.1436,1204767.7063995132,0.6616190153851114
1e-06,1739341.2823396763,1130159125719.637,1063089.4250812756,0.5468266994181499
1.4677992676220675e-06,2056685.1379907066,868085002279.7902,931710.7932614016,0.45222489489199
2.1544346900318822e-06,2433311.53254488,656124583880.1375,810015.1750925025,0.37431619861892734
3.162277660168379e-06,2876031.254418914,486316380144.10394,697363.8792940913,0.310217162715197
4.641588833612773e-06,3389685.282412555,352025869117.0867,593317.6797610928,0.25755016031227373
6.8129206905796085e-06,3975000.38628874,247701200768.1027,497695.89185375307,0.21435310887641432
1e-05,4625982.427883016,168581530276.04773,410586.8121068281,0.17900359417102168
1.4677992676220675e-05,5327451.044289508,110431473968.87245,332312.31389894726,0.15015479240174764
2.1544346900318823e-05,6054026.612653819,69339366333.54909,263323.691174093,0.12668165726120442
3.1622776601683795e-05,6772150.869758088,41624987492.82837,204022.02697951114,0.10763701142318917
4.641588833612772e-05,7445779.6219946155,23882723037.520794,154540.36054546008,0.09221792604277682
6.812920690579608e-05,8044173.416714416,13126443817.557493,114570.6935370363,0.07974234529165987
0.0001,8548341.694179207,6942173609.093764,83319.70720720137,0.06963422017728899
